,latitude,longitude
940,42.5,-117.5
941,43.0,-107.5
942,35.5,-116.875
943,46.0,-108.75
944,43.0,-125.0
945,34.5,-106.875
946,49.5,-108.125
947,,
948,40.0,-111.25
949,40.0,-110.625
950,31.5,-121.875
951,33.5,-106.875
952,41.0,-106.875
953,31.5,-114.375
954,32.0,-112.5
